,ALink,SName,SLink,Lyric,Idiom
46,/10000-maniacs/,death manolete,/10000-maniacs/death-of-manolete.html,woman holding rosary day manolette died teenage girl soft white dress standing silent peace respecting group boy held hand fragment shattered idol old men tradition challenged refrained tear neck neck hook pole wood picadores stood eye ablaze view brutal contest vale year courage unfailing agility exhausted youth entered challenge reached title shelved patron attendance disarm common myth homage played victor immortality cloaked bold tone stockyard beast climb barrier bid frenzied ring bred one purpose die man sport dash spindle instant fell wounding day sword penetrating day torch igniting day flower wreath encircling day day,ENGLISH
47,/10000-maniacs/,dont go back rockville,/10000-maniacs/dont-go-back-to-rockville.html,original version rem looking watch third waiting station bus going place thats far far away thats enough going nobody say hello talk anybody youll wind factory thats full filth nowhere left walk home empty house sit around might sound strange believe youll coming back long back rockville waste another year night drink sleep pretend care cause much easier handle problem far sea something better happen soon gonna late bring back though really need id bleed everybody else town want bring thats ought might sound strange believe youll coming back long,ENGLISH
48,/10000-maniacs/,dont talk,/10000-maniacs/dont-talk.html,talk listen talk keep distance id rather hear truth tonight entertain lie take poison silently let let close eye talk ill believe talk listen instead think long enough hard drink drown trouble trouble talk talk talk talk care talk tilt bottle air tossing back share talk guess talk well restless need somewhere put blame feel inside youll look close easy mark youll see fair game talk talk talk talk care talk tilt bottle air tossing back share talk talk talk talk care marking every word tell sure talk finest heard talk ill sleeping let dreaming eye glow fiercely tell inspired name chose never mind talk talk talk head clear ill discus morning may talk wont hear,ENGLISH
49,/10000-maniacs/,dreadlock holiday,/10000-maniacs/dreadlock-holiday.html,walkin street concentratin truckin right heard dark voice beside looked round state fright saw four face one mad brother gutter looked bit turned say cricket oh love cricket oh love walk thru word show respect walk thru word `cause aint heard yet well looked silver chain said ill give one dollar said youve jokin man present mother said want ill take hand youll sorry crossed youd better understand alone long way home say reggae love reggae oh love cramp style queer pitch walk thru word `cause aint heard yet hurried back swimming pool sinkin pina coladas heard dark voice beside say would something harder said ive want harvest best try youll wallow dreadlock holiday say jamaica oh love jamaica oh love oh yea walk thru word show respect walk thru word `cause aint heard yet cricket love dreadlock holiday reggae love dreadlock holiday jamaica love dreadlock holiday,ENGLISH
50,/10000-maniacs/,dust bowl,/10000-maniacs/dust-bowl.html,leave home follow store toy cant afford kid take back better doll talk astronaut tv game airplane understand explain try try cant save penny nickel dollar slip away ive tried tried cant save youngest girl bad fever sure night alcohol cool rub ruby tired try sleep adding doctor fee remedy cost three day work lost try try cant save penny nickel dollar slip away ive tried tried cant save hole pocketbook growing there new wind blowing say gonna cold cold one brace darling wont bring anything much way dust bowl day played card week game took first last letter three name lottery building week could lucky five million prize tear disbelief spilling eye try try cant save penny nickel dollar slip away ive tried tried cant save hole pocketbook growing there new wind blowing say gonna cold cold one brace darling wont bring anything much way dust bowl day,ENGLISH
51,/10000-maniacs/,eat two,/10000-maniacs/eat-for-two.html,oh baby blanket baby shoe baby slipper baby spoon wall baby blue dream child head nightmare born borrowed bed lightning strike struck struck dead folly grows inside eat two walk two breathe two walk two breathe two eat two well egg man fell shelf good king men help struggled til end shell couldnt mend lead hush rock nursery kicking one inside eat two walk two breathe two eat two walk two breathe two boy boy girl girl found wicked world strong respect couldnt stand way begged gave pride men young girl run hide instead risk game taking dare yes eat two walk two breathe two eat two walk two breathe two walk two stumbling walk two stumbling breathe two cant breathe cant breathe five month grows five month begin show,ENGLISH
52,/10000-maniacs/,eden,/10000-maniacs/eden.html,rose garden beauty thorn among leaf pick rose ask hand bleed reason rose blood shed carelessly must something vanity believe truth honest people dream close could willing grow rain shallow barren windscattered seed stone dry land waiting light arisen flood inside prison kind word alone teach u bitterness reach u reason guided another way clock another demon devours eden paradise eye see well beneath u flower divine still wake discover life precious love waking become heavenly,ENGLISH
53,/10000-maniacs/,ellen,/10000-maniacs/ellen.html,eager please way though attempt falling short expectation see would tell conquest bragging evening alone ellen unplanned delay saving someone really cared invincible say married name kind child lady quick temper blaze ember one measured standard evening alone alone tell open mind take chance maybe finding life`s treasure stubborn stay set way really wanting lonely alone,ENGLISH
54,/10000-maniacs/,even eyes closed,/10000-maniacs/even-with-my-eyes-closed.html,even eye closed funny harder harder young girl young girl day thinking could live always ocean tide drawn back inside season pas sand inside glass nothing nothing return standing friend ive made ill race grave well extra day ocean tide drawn back inside ocean tide drawn back inside year toll water wide shallow high low autumn sky happy going home even eye closed funny finally finally begun ocean tide drawn back inside ocean tide drawn back inside,ENGLISH
55,/10000-maniacs/,everyday like sunday,/10000-maniacs/everyday-is-like-sunday.html,trudging slowly wet sand back bench clothes stolen coastal town forgot close armagedon armagedon armagedon everyday sunday everyday silent grey hide promanade etch post card dearly wish seaside town forgot bomb nuclear bomb everyday sunday everyday silent grey trudging back pebble sand strange dust land hand face everyday sunday win cheap tray share grease tea everyday silent grey,ENGLISH
